麻黄,发汗散寒，宣肺平喘，利水消肿。
浮小麦,除热止汗，益气。
椿皮,涩肠，杀虫，止血，止带，清热燥湿。
硫磺,外用解毒杀虫疗疮，内服补火助阳通便。
雄黄,解毒杀虫，燥湿祛痰，截疟。
轻粉,外用攻毒杀虫敛疮，内服祛痰消积，逐水通便。
炉甘石,解读明目退翳，收湿止痒敛疮。
皂矾,解毒燥湿，杀虫止血。
白矾,外用解毒杀虫，燥湿止痒；内服止血止泻，祛除风痰。
明矾,外用解毒杀虫，燥湿止痒；内服止血止泻，祛除风痰。
蛇床子,杀虫止痒，燥湿祛风，温肾壮阳
土荆皮,杀虫，疗廯，止痒。
苦楝皮,杀虫，疗廯。
红粉,拔毒，排脓，祛腐，生肌。
常山,涌吐痰涎，截疟。
蜂房,祛风止痛，攻毒杀虫。
蜂胶,补虚弱，化浊脂，止消渴。
蜂蜡,解毒，敛疮，生肌，止痛。
阿魏,消积，化癥，散痞，杀虫。
柿蒂,降逆止呕。
砒石,外用祛腐蚀疮，内服截疟平喘。
硼砂,外用清热解毒，内服清肺化痰。
