蚕豆花,,治肺热咳嗽、痰中带血、水肿、血热漏下、小便黄赤、酒醉不醒
竹叶,竹叶石膏汤,治感冒、风热发烧、小便短赤、热渴、诸淋、伤寒湿病
黄芩,普济消毒饮,治暑温、湿热、咽喉肿痛、肺热咳嗽、黄疸、泻痢、火毒疮疡、胎动不安、腮腺炎
黄连,黄连解毒汤,治热病神昏、湿热下痢、血热吐衄、胃热呕吐、火毒疮疡、痈疽疔疮
黄柏,大补阴丸,治湿热黄疸、泻痢、带下、足膝肿痛、湿疹瘙痒、骨蒸劳热、盗汗、遗精、痈肿疮毒
龙胆草,龙胆泻肝汤,治湿热黄疸、目赤肿痛、筋痿肋痛、肾囊溃破、小便淋浊、乳腺炎
苦参,三物黄芩汤,治湿疹、湿热下痢、黄疸、大便下血、疥癣麻风、脂溢性皮炎
白鲜皮,消斑膏4号,治湿疹湿疮、风湿热痹、疥癣麻风、湿热黄疸、皮肤瘙痒
冬瓜子,大黄牡丹汤,治肺痈、肠痈、痰热咳嗽、消渴、急性阑尾炎、盆腔炎
胡黄连,金蟾丸,治肺结核、痢疾、吐血衄血、小儿疳积
秦皮,白头翁加甘草阿胶汤,治湿热下痢、肝热目赤、湿热阴痒、麦粒肿、妇女赤白带下
积雪草,六味护肝汤,治吐血崩中、肚腹胀痛、中暑腹泻、尿路结石、黄疸型肝炎、蛇咬伤
肾厥,厥麦利喉汤,治痢疾、小便淋浊、喉炎、扁桃体炎、淋巴结核、子宫脱垂
紫花地丁,五味消毒饮,治湿热肠痈、化脓性感染、淋巴结核、肠炎痢疾、喉痹、血尿、前列腺炎、腮腺炎、痈疽疔疮
蚌粉,消肿毒方,治诸疮痈疽、痰饮咳嗽、涎块积聚
马蹄草,,治肝炎、胆囊炎、感冒、中暑、跌伤扭伤
牛筋草,千金荔枝汤,治湿热黄疸、腰痛、乳痈、疝气
犀角,犀角地黄汤,治外感热病、肺炎、黄疸、咽喉肿痛、小儿疱疹、赤眼肿痛、斑疹吐血
水牛角,轻身一号,治肥胖症、赤秃脱发、牛程足蹇、鼻炎、鼻窦炎、膀胱炎、盆腔炎
生地,清营汤,治外感热病、内热消渴、吐衄下血、高热痉挛、羊奶痔、骨蒸劳热
玄参,增液承气汤,治温病、阴虚、三焦积热、瘰疠、痈肿疮毒、咽喉肿痛
丹皮,温经汤,治外感热病、阴虚发热、瘀血闭经、肠痈、火毒疮疡、跌打损伤、高血压、血管硬化、阑尾炎
赤芍,保命集,治血热血瘀、痛经闭经、目赤肿痛、赤痢、痈疖疮毒
紫草,清解透表汤,治斑疹、热疮、痈肿溃疡、火伤、冻伤、流感、流脑、小儿胎毒、过敏性紫癜
白茅根,凤尾草合剂,治肺热咳血、热证出血、吐血、鼻衄、反胃、黄疸、百日咳、热淋、肾炎
鬼针草,白针木香饮,治阑尾炎、黄疸、疟疾、肝炎、偏头痛
白薇,加减葳蕤汤,治肺实鼻塞、体虚低烧、尿道感染、遗精
银柴胡,清骨散,治骨蒸劳热、小儿疳热、皮肤甲错、过敏性鼻炎
丝瓜络,清络饮,治乳痈、胸胁痛、关节酸痛、老年斑
四季青,四季通瘀汤,治感冒、痢疾、胆道感染、肾孟肾炎、烧烫伤、小儿肺炎、上呼吸道感染
莲子心,壮阳丹,治热病神昏、遗精、高血压
火炭母草,感冒合剂,治感冒、湿热黄疸、赤白痢疾、妇女带下、角膜云翳、湿疹、霉菌性阴道炎
地锦草,加减真武汤,治黄疸、痢疾、崩漏、刀伤出血、痈肿恶疮
拳参,,治感冒、痢疾、扁桃体炎、淋巴腺肿大、疮疖痈毒
金银花,四妙勇安汤,治热淋、肠痈、外感风寒、乳腺炎、乳岩、骨髓炎、胆道感染
连翘,银翘散,治感冒风寒、温病初起、小儿发热、乳痈乳核、瘰疠结核、痈肿疮毒、尿赤淋痛
大青叶,感冒二方,治热病热毒、感冒、咽喉唇肿、麻疹、肺炎、肝炎、淋巴腺炎、脑膜炎、脑热耳聋
鱼腥草,金青感冒片,治感冒、高热、肺痈、肠炎、血淋、小儿惊风、痧症腹胀、支气管炎、痈肿、痔疮
败酱草,薏苡附子败酱散,治肠痈、便秘、赤眼障痛、产后腰痛、脓疮溃疡
马齿苋,马防地丁散,治热毒血痢、痔疮出血、甲疽、耳疮、钩虫病、肾结核、破伤风
鸦胆子,鸦胆子液,治内痔、疟疾、鸡眼、寻常疣、滴虫性阴道炎
